accommodates,bedrooms,beds,bathrooms,room_type,property_type,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,number_of_reviews,reviews_per_month,latitude,longitude,location,price_clean,has_reviews
4,1,2,1.0,Entire home/apt,Entire rental unit,4.83,4.82,4.87,4.72,110,6.69,45.4445762,12.3293232,Venice,104,1
3,2,2,1.0,Entire home/apt,Entire rental unit,4.98,4.84,4.96,4.78,51,3.1,45.43443,12.3327,Venice,157,1
4,2,2,1.5,Entire home/apt,Entire condo,4.91,4.95,4.77,4.8,64,4.16,45.4987395,12.2410412,Venice,131,1
5,3,6,2.0,Entire home/apt,Entire condo,5.0,5.0,5.0,5.0,2,0.17,45.4377,12.32948,Venice,148,1
2,1,1,2.0,Private room,Private room in condo,4.96,5.0,4.88,4.92,25,1.47,45.45365,12.35311,Venice,99,1
6,2,5,2.0,Entire home/apt,Entire rental unit,3.75,4.0,4.25,3.5,4,0.25,45.4350766,12.3488353,Venice,9999,1
4,1,3,1.0,Entire home/apt,Entire rental unit,5.0,4.85,5.0,4.85,20,1.2,45.4357197,12.3383083,Venice,201,1
2,0,1,1.0,Entire home/apt,Entire rental unit,4.9,5.0,4.9,4.77,30,1.86,45.43332,12.32034,Venice,219,1
4,2,2,2.0,Entire home/apt,Entire rental unit,4.74,4.83,4.74,4.61,23,1.36,45.40343,12.36346,Venice,97,1
3,1,3,1.0,Entire home/apt,Entire rental unit,4.93,4.94,4.94,4.8,119,7.01,45.44197,12.3365,Venice,141,1
2,0,1,1.0,Entire home/apt,Entire loft,0.0,0.0,0.0,0.0,0,0.0,45.42961,12.3313,Venice,73,0
4,2,2,2.0,Entire home/apt,Entire condo,5.0,5.0,5.0,5.0,1,0.33,45.43176404277095,12.330914325272412,Venice,97,1
2,1,1,1.0,Entire home/apt,Entire rental unit,4.44,4.31,4.81,4.25,16,0.97,45.44365,12.334,Venice,250,1
5,2,4,1.0,Entire home/apt,Entire condo,4.96,4.97,4.76,4.88,74,4.34,45.49482740708369,12.230836562812328,Venice,108,1
2,1,1,1.0,Entire home/apt,Entire rental unit,4.76,4.81,4.86,4.57,37,2.18,45.43690474752555,12.347011440653697,Venice,156,1
2,1,2,1.0,Private room,Private room in rental unit,4.65,4.76,4.67,4.56,66,3.93,45.4860616,12.2346818,Venice,43,1
5,2,4,1.5,Entire home/apt,Entire condo,4.7,4.75,4.92,4.63,71,4.19,45.4394304,12.3328991,Venice,188,1
2,1,1,2.0,Private room,Private room in rental unit,4.65,4.5,4.65,4.62,34,2.12,45.48637,12.23449,Venice,44,1
4,1,1,1.0,Entire home/apt,Entire rental unit,5.0,5.0,5.0,3.0,1,0.06,45.43366196764129,12.316792277909869,Venice,187,1
2,1,1,1.0,Entire home/apt,Entire condo,4.94,4.94,4.94,4.83,35,2.06,45.438352309679146,12.324685379862784,Venice,170,1
3,1,2,1.0,Private room,Private room in rental unit,4.55,4.67,4.62,4.54,91,5.35,45.48054,12.23316,Venice,92,1
2,1,0,1.0,Entire home/apt,Entire rental unit,5.0,5.0,4.85,4.96,26,1.85,45.45580557793426,12.349215028172312,Venice,80,1
4,3,2,1.0,Entire home/apt,Entire rental unit,4.86,5.0,4.86,4.86,7,0.42,45.49827,12.23985,Venice,209,1
